10-26-2025 15:45:20 RAM 6581/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [7%@1984,2%@1984,4%@1984,15%@1984,15%@729,6%@729,12%@729,1%@729] GR3D_FREQ 9% cv0@59.843C cpu@62.375C iwlwifi_1@51C soc2@58.75C soc0@60.968C cv1@59.718C gpu@59.375C tj@63.718C soc1@63.718C cv2@59.875C VDD_IN 7766mW/7987mW VDD_CPU_GPU_CV 1171mW/1360mW VDD_SOC 2705mW/2739mW
10-26-2025 15:45:21 RAM 6597/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [9%@1984,5%@1984,4%@1984,5%@1984,42%@1984,4%@1984,14%@1984,3%@1984] GR3D_FREQ 13% cv0@60.812C cpu@62.781C iwlwifi_1@51C soc2@59.125C soc0@60.968C cv1@60.156C gpu@59.625C tj@63.812C soc1@63.812C cv2@59.812C VDD_IN 8682mW/8036mW VDD_CPU_GPU_CV 1975mW/1404mW VDD_SOC 2746mW/2740mW
10-26-2025 15:45:22 RAM 6600/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [6%@1984,32%@1984,1%@1984,4%@1984,100%@1984,0%@1984,0%@1984,2%@1984] GR3D_FREQ 0% cv0@61.375C cpu@63.218C iwlwifi_1@51C soc2@59.5C soc0@61.218C cv1@60.5C gpu@59.781C tj@63.906C soc1@63.906C cv2@59.968C VDD_IN 9409mW/8128mW VDD_CPU_GPU_CV 2459mW/1474mW VDD_SOC 2826mW/2745mW
10-26-2025 15:45:23 RAM 6630/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [19%@960,9%@960,4%@960,3%@960,35%@1984,2%@1984,63%@1984,2%@1984] GR3D_FREQ 11% cv0@60.375C cpu@63.718C iwlwifi_1@51C soc2@59.187C soc0@61C cv1@60.375C gpu@59.562C tj@63.718C soc1@63.718C cv2@60C VDD_IN 9247mW/8198mW VDD_CPU_GPU_CV 2378mW/1530mW VDD_SOC 2786mW/2748mW
10-26-2025 15:45:24 RAM 6603/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [30%@1497,9%@1497,5%@1497,8%@1497,6%@1984,10%@1984,100%@1984,3%@1984] GR3D_FREQ 5% cv0@61.281C cpu@63.781C iwlwifi_1@51C soc2@59.593C soc0@61.187C cv1@60.375C gpu@59.812C tj@63.843C soc1@63.843C cv2@60.281C VDD_IN 9813mW/8293mW VDD_CPU_GPU_CV 2817mW/1606mW VDD_SOC 2822mW/2752mW
10-26-2025 15:45:25 RAM 6600/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [27%@883,13%@883,14%@883,10%@883,85%@1984,3%@1984,3%@1984,10%@1984] GR3D_FREQ 6% cv0@61.218C cpu@63.281C iwlwifi_1@51C soc2@59.5C soc0@61.093C cv1@60.5C gpu@59.812C tj@64.062C soc1@64.062C cv2@60C VDD_IN 9530mW/8361mW VDD_CPU_GPU_CV 2580mW/1660mW VDD_SOC 2826mW/2756mW
10-26-2025 15:45:26 RAM 6623/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [5%@729,2%@729,0%@729,1%@729,100%@1984,3%@1984,10%@1984,5%@1984] GR3D_FREQ 7% cv0@60.906C cpu@63.406C iwlwifi_1@51C soc2@59.343C soc0@61.343C cv1@60.562C gpu@59.968C tj@63.843C soc1@63.843C cv2@60.187C VDD_IN 9247mW/8408mW VDD_CPU_GPU_CV 2378mW/1698mW VDD_SOC 2786mW/2758mW
10-26-2025 15:45:27 RAM 6587/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [3%@729,4%@729,3%@729,2%@1984,61%@729,13%@729,2%@729,5%@729] GR3D_FREQ 6% cv0@60.281C cpu@62.812C iwlwifi_1@51C soc2@59.093C soc0@61.093C cv1@60.156C gpu@59.875C tj@63.906C soc1@63.906C cv2@60.156C VDD_IN 8440mW/8410mW VDD_CPU_GPU_CV 1774mW/1702mW VDD_SOC 2746mW/2757mW
10-26-2025 15:45:28 RAM 6588/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [5%@729,17%@729,2%@729,3%@729,1%@729,0%@729,1%@729,0%@729] GR3D_FREQ 6% cv0@60.093C cpu@63C iwlwifi_1@51C soc2@58.937C soc0@61.093C cv1@60.093C gpu@59.531C tj@63.843C soc1@63.843C cv2@59.781C VDD_IN 7806mW/8381mW VDD_CPU_GPU_CV 1251mW/1680mW VDD_SOC 2705mW/2755mW
10-26-2025 15:45:29 RAM 6588/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [10%@729,12%@729,7%@729,2%@729,1%@729,1%@729,0%@729,4%@729] GR3D_FREQ 5% cv0@60.062C cpu@62.625C iwlwifi_1@51C soc2@58.906C soc0@61.156C cv1@60C gpu@59.406C tj@63.875C soc1@63.875C cv2@59.75C VDD_IN 7766mW/8353mW VDD_CPU_GPU_CV 1251mW/1661mW VDD_SOC 2705mW/2753mW
